number	id	name	inserted_at	updated_at	filename
1	2ccf8817-6d17-4ca8-acf0-bd411bfee5db	21	2026-08-03T20:17:11.258853+00:00	2026-08-03T20:17:11.258853+00:00	001-21-2ccf8817-6d17-4ca8-acf0-bd411bfee5db.sql
2	50e73158-ff76-41a7-ab8b-84ca66e68e32	20	2026-08-03T20:16:44.877755+00:00	2026-08-03T20:16:44.877755+00:00	002-20-50e73158-ff76-41a7-ab8b-84ca66e68e32.sql
3	d07921ab-1064-4f94-a313-5a67af82307f	19	2026-08-03T20:15:55.145734+00:00	2026-08-03T20:15:55.145734+00:00	003-19-d07921ab-1064-4f94-a313-5a67af82307f.sql
4	36fafe1e-f7da-4e8f-91ee-cff83733692d	def delete from here	2026-08-03T20:09:58.277481+00:00	2026-08-03T20:09:58.277481+00:00	004-def-delete-from-here-36fafe1e-f7da-4e8f-91ee-cff83733692d.sql
5	6ef23f78-754d-42ec-bd62-fca79c02f7de	18	2026-08-01T06:13:21.241452+00:00	2026-08-01T06:13:21.241452+00:00	005-18-6ef23f78-754d-42ec-bd62-fca79c02f7de.sql
6	dbe76e7e-9c8e-48c0-b446-b8e1a5fd4ad3	17	2026-08-01T05:32:04.36169+00:00	2026-08-01T05:32:04.36169+00:00	006-17-dbe76e7e-9c8e-48c0-b446-b8e1a5fd4ad3.sql
7	d83e3732-4844-42a2-b97e-ba50cd7f36df	16	2026-08-01T04:55:44.066103+00:00	2026-08-01T04:55:44.066103+00:00	007-16-d83e3732-4844-42a2-b97e-ba50cd7f36df.sql
8	d669f045-8574-492b-8785-66b341e96e9c	15	2026-08-01T04:54:51.589633+00:00	2026-08-01T04:54:51.589633+00:00	008-15-d669f045-8574-492b-8785-66b341e96e9c.sql
9	02b9a596-a437-41b1-93af-665a4344834a	14	2026-08-01T01:09:56.387744+00:00	2026-08-01T01:09:56.387744+00:00	009-14-02b9a596-a437-41b1-93af-665a4344834a.sql
10	ecc8153e-739a-4dec-9949-2e47f10e1dbe	yardpilot-fix-access-code-function-volatility-v2.sql	2026-08-01T01:04:33.015134+00:00	2026-08-01T01:04:33.015134+00:00	010-yardpilot-fix-access-code-function-volatility-v2-sql-ecc8153e-739a-4dec-9949-2e47f10e1dbe.sql
11	db783f03-6642-4faf-89a5-3b32ecf5dd5a	yardpilot-fix-access-code-function-volatility.sql	2026-08-01T01:02:46.566271+00:00	2026-08-01T01:02:46.566271+00:00	011-yardpilot-fix-access-code-function-volatility-sql-db783f03-6642-4faf-89a5-3b32ecf5dd5a.sql
12	86bc56c7-2368-4b47-89b3-a2a33db6a6c8	create-business-card-access-codes.sql	2026-08-01T00:50:10.086951+00:00	2026-08-01T00:50:10.086951+00:00	012-create-business-card-access-codes-sql-86bc56c7-2368-4b47-89b3-a2a33db6a6c8.sql
13	62d29632-a153-4473-8184-7dd548cbafc0	yardpilot-subscriptions-paywall-v1.sql	2026-08-01T00:05:26.884147+00:00	2026-08-01T00:05:26.884147+00:00	013-yardpilot-subscriptions-paywall-v1-sql-62d29632-a153-4473-8184-7dd548cbafc0.sql
